# Source https://wwwndc.jaea.go.jp/nucldata/mass/KTUY05_m246.dat
# Koura, Hiroyuki, et al. "Nuclidic mass formula on a spherical basis with an improved even-odd term." Progress of theoretical physics 113.2 (2005): 305-325.
#   ZZ   NN   Mcal    Esh alpha2 alpha4 alpha6
   18   22 -35.69  -0.04  0.083  0.008 -0.009
   18   23 -34.19  -0.21  0.102 -0.006 -0.010
   18   24 -35.40  -0.57  0.117 -0.006 -0.008
   18   25 -33.07  -1.06  0.113 -0.030 -0.007
   18   26 -33.13  -1.52  0.088 -0.025 -0.004
   18   27 -29.94  -2.19  0.044 -0.023  0.004
   18   28 -29.39  -3.14  0.011 -0.001  0.000
   18   29 -24.31  -2.86  0.033  0.009 -0.004
   18   30 -21.56  -2.61  0.045 -0.001 -0.004
   18   31 -15.68  -2.37  0.033 -0.013 -0.002
   18   32 -12.01  -2.10  0.011 -0.001 -0.001
   18   33  -4.87  -1.36  0.029  0.005 -0.004
   18   34   0.06  -0.66  0.058  0.013 -0.002
   18   35   7.67  -0.15  0.073  0.007 -0.007
   18   36  13.06   0.29  0.083 -0.002 -0.010
   18   37  21.24   0.73  0.091 -0.012 -0.003
   18   38  27.29   1.15  0.095 -0.012  0.000
   18   39  35.92   1.46  0.032 -0.007 -0.002
   18   40  42.27   1.55  0.008  0.000  0.000
   18   41  51.37   1.80  0.151  0.002  0.000
   18   42  58.17   1.77  0.141 -0.005 -0.002
   18   43  67.38   1.64  0.134 -0.011 -0.003
   18   44  74.48   1.39  0.103 -0.010 -0.007
   18   45  83.89   1.00  0.106 -0.009 -0.010
   18   46  91.37   0.64  0.097 -0.016 -0.010
   18   47 101.20   0.26  0.086 -0.024 -0.003
   18   48 109.06  -0.17  0.065 -0.021  0.000
   18   49 119.00  -0.83  0.041 -0.014 -0.001
   18   50 126.84  -1.70  0.020  0.000 -0.003
   18   51 136.80  -2.70  0.006  0.000  0.000
   18   52 145.59  -3.00  0.020  0.000 -0.003
   19   12  32.71  -0.05  0.103 -0.004 -0.004
   19   13  21.01  -0.83  0.051 -0.014 -0.003
   19   14   7.29  -1.71  0.023 -0.001 -0.004
   19   15  -0.62  -1.20  0.029 -0.007 -0.004
   19   16 -10.32  -0.64  0.049 -0.009  0.000
